index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
145	main-captions	MSRvid	2012test	354	none	none	Two dogs are running and carrying a toy in their mouths	Two dogs are running and carrying an object in their mouths	4.3
146	main-captions	MSRvid	2012test	358	none	none	A dog is chasing another and is holding a piece of wood in its mouth	Two dogs are running and carrying an object in their mouths	3.9
147	main-captions	MSRvid	2012test	360	none	none	Two dogs are running and carrying an object in their mouths	A dog is chasing a stick and holding another dog in its mouth	3.2
148	main-captions	MSRvid	2012test	361	none	none	A dog is chasing another and is holding a stick in its mouth	Two dogs are running and carrying an object in their mouths	4.0
149	main-captions	MSRvid	2012test	362	none	none	A dirty soccer ball is rolling into a goal net	A soccer ball is rolling into a goal net	4.5
150	main-captions	MSRvid	2012test	363	none	none	A soccer ball is not rolling into a goal net	A soccer ball is rolling into a goal net	3.4
151	main-captions	MSRvid	2012test	366	none	none	A person who plays soccer is kicking a ball into the goal	A soccer ball is rolling into a goal net	4.1
152	main-captions	MSRvid	2012test	367	none	none	A soccer ball is rolling into a goal net	A soccer player is kicking a ball out of the goal	3.2
153	main-captions	MSRvid	2012test	370	none	none	A soccer ball is rolling into a goal net	A soccer player is kicking a ball into the goal	4.3
154	main-captions	MSRvid	2012test	372	none	none	A man is sitting on a chair and rubbing his eyes	There is no man sitting on a chair and rubbing his eyes	3.8
155	main-captions	MSRvid	2012test	373	none	none	A man with tattoos is lounging on a couch and holding a pencil	A tattooed man is on a sofa and is holding a pencil	4.4
156	main-captions	MSRvid	2012test	374	none	none	A man with tattoos is lounging on a couch and holding a pencil	A man with tattoos is lounging on a couch and is looking for a pencil	2.9
157	main-captions	MSRvid	2012test	375	none	none	A man with tattoos is holding a couch with a pencil	A man with tattoos is lounging on a couch and holding a pencil	2.6
158	main-captions	MSRvid	2012test	377	none	none	A man is sitting on a chair and rubbing his eyes	A man with tattoos is lounging on a couch and is looking for a pencil	2.1
159	main-captions	MSRvid	2012test	378	none	none	A man with tattoos is holding a couch with a pencil	A man is sitting on a chair and rubbing his eyes	2.0
160	main-captions	MSRvid	2012test	379	none	none	A man is resting on a chair and rubbing his eyes	A man with tattoos is lounging on a couch and holding a pencil	2.5
161	main-captions	MSRvid	2012test	380	none	none	A man with tattoos is lounging on a couch and holding a pencil	There is no man sitting on a chair and rubbing his eyes	1.6
162	main-captions	MSRvid	2012test	381	none	none	A man with tattoos is lounging on a couch and holding a pencil	A man is sitting on a chair and rubbing his eyes	2.4
163	main-captions	MSRvid	2012test	387	none	none	A brown and white dog is running through the tall grass	A black and tan dog is running through the low and green grass	3.8
164	main-captions	MSRvid	2012test	390	none	none	A white and tan dog is running through the tall and green grass	A brown and white dog is running through the tall grass	4.6
165	main-captions	MSRvid	2012test	391	none	none	A man with paint covered clothes is sitting outside in a busy area writing something	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something	4.8
166	main-captions	MSRvid	2012test	392	none	none	There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something	4.1
167	main-captions	MSRvid	2012test	393	none	none	A sitting man is busy writing something in an area covered by paint	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something	3.7
168	main-captions	MSRvid	2012test	395	none	none	A man is sitting near a bike and is writing a note	There is no man writing a note near a bike	4.2
169	main-captions	MSRvid	2012test	396	none	none	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something	A man is standing near a bike and is writing on a piece paper	2.6
170	main-captions	MSRvid	2012test	397	none	none	There is no man writing a note near a bike	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something	2.7
171	main-captions	MSRvid	2012test	398	none	none	A man is sitting near a bike and is writing a note	A man with paint covered clothes is sitting outside in a busy area writing something	3.1
172	main-captions	MSRvid	2012test	403	none	none	A group of scouts are camping in the grass	A group of scouts are hiking through the grass	3.5
173	main-captions	MSRvid	2012test	404	none	none	Some people are walking	People are walking	4.7
174	main-captions	MSRvid	2012test	409	none	none	Some people are walking	A group of scouts are camping in the grass	1.5
175	main-captions	MSRvid	2012test	410	none	none	A group of scouts are hiking through the grass	Some people are walking	3.2
176	main-captions	MSRvid	2012test	413	none	none	Two men are taking a break from a trip on a snowy road	Two men are breaking into a car during a trip on a snowy road	3.0
177	main-captions	MSRvid	2012test	415	none	none	Two men with bikes are on the side of a snowy road	Two men with cars are on the side of a snowy road	3.5
178	main-captions	MSRvid	2012test	422	none	none	Two men are holding fishing poles and fishing tackle	Two men are holding fishing poles	4.3
179	main-captions	MSRvid	2012test	423	none	none	Two men are not holding fishing poles	Two men are holding fishing poles	3.2
180	main-captions	MSRvid	2012test	427	none	none	Two men are holding fishing poles	Two men are standing near the water and are holding tools used for fishing	4.3
181	main-captions	MSRvid	2012test	428	none	none	There is no man standing near the water and holding fishing poles	Two men are holding fishing poles	3.2
182	main-captions	MSRvid	2012test	434	none	none	The helmeted girl is riding a bike	The helmeted girl is perching on a bike	4.2
183	main-captions	MSRvid	2012test	435	none	none	A woman is performing a trick on a ramp with a bicycle	A woman is jumping with a bicycle	4.3
184	main-captions	MSRvid	2012test	436	none	none	A woman is performing a trick on a ramp with a bicycle	A woman is performing a trick on a ramp with a car	2.4
185	main-captions	MSRvid	2012test	438	none	none	The helmeted girl is perching on a bike	A woman is performing a trick on a ramp with a car	1.9
186	main-captions	MSRvid	2012test	439	none	none	The girl with a helmet is perching on a bike	A woman is performing a trick on a ramp with a bicycle	2.9
187	main-captions	MSRvid	2012test	440	none	none	The helmeted girl is riding a bike	A woman is performing a trick on a ramp with a bicycle	3.7
188	main-captions	MSRvid	2012test	441	none	none	A woman is performing a trick on a ramp with a bicycle	The helmeted girl is perching on a bike	3.3
189	main-captions	MSRvid	2012test	442	none	none	A blonds girl is surfing	A blond girl is riding the waves	4.7
190	main-captions	MSRvid	2012test	446	none	none	A lady is surfing and riding a wave	A boy is surfing and riding a wave	3.5
191	main-captions	MSRvid	2012test	447	none	none	A woman is surfing	A blond girl is riding the waves	4.0
192	main-captions	MSRvid	2012test	449	none	none	A lady is surfing and riding a wave	A blonds girl is surfing	3.6
193	main-captions	MSRvid	2012test	451	none	none	A blond girl waves while she is riding	A lady is surfing and riding a wave	2.3
194	main-captions	MSRvid	2012test	454	none	none	Two children and an adult are standing next to a tree limb	Two children and an adult are not standing next to a tree limb	3.6
195	main-captions	MSRvid	2012test	457	none	none	Two children and an adult are standing next to a tree limb	Two children are climbing a tree	3.0
196	main-captions	MSRvid	2012test	461	none	none	Two children and an adult are standing next to a tree limb	Two children are hanging on a large branch	2.7
197	main-captions	MSRvid	2012test	462	none	none	A man dressed in black is riding a bike	A man is performing a trick on a bike	3.5
198	main-captions	MSRvid	2012test	465	none	none	A man is performing stunts on a green bicycle	A man is performing a trick on a green bicycle	4.7
199	main-captions	MSRvid	2012test	470	none	none	There is no man dressed in black and riding a green bike	A man is performing a trick on a green bicycle	3.4
200	main-captions	MSRvid	2012test	473	none	none	A boy is holding a squirt gun	A child is holding a squirt gun	4.5
201	main-captions	MSRvid	2012test	475	none	none	A laughing child is holding a water gun and getting sprayed with water	A child with a gun that sprays water is laughing and getting hit by other boys	4.0
202	main-captions	MSRvid	2012test	476	none	none	There is no child holding a water gun or getting sprayed with water	A laughing child is holding a water gun and getting sprayed with water	4.0
203	main-captions	MSRvid	2012test	477	none	none	A child with a gun that sprays water is laughing and getting hit by other boys	A child is holding a squirt gun	3.9
204	main-captions	MSRvid	2012test	484	none	none	Two daschunds are playing with a red ball	Two dogs are playing with a small red ball	4.2
205	main-captions	MSRvid	2012test	485	none	none	Two cats are playing with a red ball	Two daschunds are playing with a red ball	3.3
206	main-captions	MSRvid	2012test	486	none	none	Two brown dogs are fighting over a red ball and are playing in the grass	Two dogs are playing with a small red ball	3.8
207	main-captions	MSRvid	2012test	489	none	none	There is no dog playing with a red ball	Two daschunds are playing with a red ball	3.0
208	main-captions	MSRvid	2012test	491	none	none	The black and white dog is running and a person stands behind it	The dog, which is black and white, is running and a person stands behind it	4.9
209	main-captions	MSRvid	2012test	494	none	none	A little dog is sprinting and the person who owns it is trying to catch it	A little dog is sprinting and its owner is trying to catch it	4.8
210	main-captions	MSRvid	2012test	496	none	none	The black and white dog is running and a person stands behind it	A little dog is sprinting and the person who owns it is trying to catch it	3.0
211	main-captions	MSRvid	2012test	497	none	none	The black and white dog is running and a person stands behind it	A little dog is slowing down and the owner is quitting chasing it	2.9
212	main-captions	MSRvid	2012test	499	none	none	The black and white dog isn't running and there is no person standing behind	A little dog is sprinting and its owner is trying to catch it	2.7
213	main-captions	MSRvid	2012test	500	none	none	A black person is running along a white stand and a dog barks behind him	A little dog is sprinting and its owner is trying to catch it	2.5
214	main-captions	MSRvid	2012test	505	none	none	A man wearing a dyed black shirt is sitting at the table and laughing	A black shirt is being worn by a man who is sitting at the table and laughing	4.7
215	main-captions	MSRvid	2012test	506	none	none	A man wearing a dyed black shirt is sitting at the table and laughing	There is no man wearing a shirt dyed black, sitting at the table and laughing	3.7
216	main-captions	MSRvid	2012test	507	none	none	A laughing man is dyeing a shirt black on the table which you cannot sit at 	A man wearing a dyed black shirt is sitting at the table and laughing	3.6
217	main-captions	MSRvid	2012test	508	none	none	A black shirt is being worn by a man who is sitting at the table and laughing	A man is sitting comfortably at a table	3.5
218	main-captions	MSRvid	2012test	513	none	none	A man is sitting and tables a comfortable discussion	A man wearing a dyed black shirt is sitting at the table and laughing	2.4
219	main-captions	MSRvid	2012test	514	none	none	A man is sitting comfortably at a table	A man wearing a dyed black shirt is sitting at the table and laughing	3.9
220	main-captions	MSRvid	2012test	515	none	none	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians	4.3
221	main-captions	MSRvid	2012test	516	none	none	A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	3.7
